p,q,total_time
1,10,0.000548
1,10,0.000452
1,10,0.000591
1,10,0.000633
1,10,0.000572
2,10,0.000714
2,10,0.000494
2,10,0.000536
2,10,0.000638
2,10,0.000605
3,10,0.000664
3,10,0.000522
3,10,0.000495
3,10,0.000541
3,10,0.000457
4,10,0.000491
4,10,0.000502
4,10,0.000611
4,10,0.000476
4,10,0.000543
5,10,0.000569
5,10,0.000469
5,10,0.000486
5,10,0.000475
5,10,0.000448
6,10,0.000681
6,10,0.000574
6,10,0.000549
6,10,0.000580
6,10,0.000659
7,10,0.000564
7,10,0.000472
7,10,0.000483
7,10,0.000518
7,10,0.000469
8,10,0.000664
8,10,0.000605
8,10,0.000645
8,10,0.000480
8,10,0.000464
1,11,0.000621
1,11,0.000591
1,11,0.000659
1,11,0.000743
1,11,0.000688
2,11,0.000609
2,11,0.000724
2,11,0.000611
2,11,0.000662
2,11,0.000675
3,11,0.000838
3,11,0.000635
3,11,0.000784
3,11,0.000729
3,11,0.000633
4,11,0.000657
4,11,0.000648
4,11,0.000671
4,11,0.000637
4,11,0.000681
5,11,0.000697
5,11,0.000802
5,11,0.000622
5,11,0.000808
5,11,0.000648
6,11,0.000609
6,11,0.000800
6,11,0.000759
6,11,0.000630
6,11,0.000635
7,11,0.000674
7,11,0.000802
7,11,0.000664
7,11,0.000651
7,11,0.000637
8,11,0.000816
8,11,0.000726
8,11,0.000656
8,11,0.000722
8,11,0.000632
1,12,0.000931
1,12,0.001006
1,12,0.000992
1,12,0.000972
1,12,0.001234
2,12,0.001135
2,12,0.001101
2,12,0.000950
2,12,0.000957
2,12,0.000954
3,12,0.001045
3,12,0.001086
3,12,0.001039
3,12,0.001108
3,12,0.001154
4,12,0.000950
4,12,0.001047
4,12,0.000839
4,12,0.001001
4,12,0.000936
5,12,0.001006
5,12,0.001001
5,12,0.000980
5,12,0.001096
5,12,0.000976
6,12,0.000951
6,12,0.001120
6,12,0.000948
6,12,0.001018
6,12,0.001121
7,12,0.001037
7,12,0.000950
7,12,0.000988
7,12,0.000960
7,12,0.000933
8,12,0.001154
8,12,0.000999
8,12,0.000976
8,12,0.001027
8,12,0.001045
1,13,0.001925
1,13,0.001632
1,13,0.001653
1,13,0.001675
1,13,0.001455
2,13,0.001816
2,13,0.001684
2,13,0.001732
2,13,0.001641
2,13,0.001757
3,13,0.001768
3,13,0.001725
3,13,0.001569
3,13,0.001734
3,13,0.001609
4,13,0.001830
4,13,0.001756
4,13,0.001788
4,13,0.001645
4,13,0.001800
5,13,0.001572
5,13,0.001804
5,13,0.001765
5,13,0.001365
5,13,0.001751
6,13,0.001731
6,13,0.001713
6,13,0.001780
6,13,0.001632
6,13,0.001729
7,13,0.001772
7,13,0.001687
7,13,0.001710
7,13,0.001627
7,13,0.001713
8,13,0.001707
8,13,0.001652
8,13,0.001699
8,13,0.001677
8,13,0.001660
1,14,0.002543
1,14,0.003179
1,14,0.003168
1,14,0.003125
1,14,0.003171
2,14,0.003357
2,14,0.003053
2,14,0.003075
2,14,0.003224
2,14,0.003116
3,14,0.002742
3,14,0.003062
3,14,0.003193
3,14,0.002564
3,14,0.002813
4,14,0.003251
4,14,0.002843
4,14,0.002829
4,14,0.003153
4,14,0.002620
5,14,0.003102
5,14,0.003160
5,14,0.003146
5,14,0.002196
5,14,0.003093
6,14,0.003166
6,14,0.003090
6,14,0.002514
6,14,0.003084
6,14,0.003147
7,14,0.002417
7,14,0.003115
7,14,0.003366
7,14,0.003060
7,14,0.002983
8,14,0.003093
8,14,0.002589
8,14,0.003079
8,14,0.003181
8,14,0.003134
1,15,0.006104
1,15,0.004565
1,15,0.006307
1,15,0.004289
1,15,0.006126
2,15,0.005484
2,15,0.005432
2,15,0.005627
2,15,0.006336
2,15,0.006084
3,15,0.006051
3,15,0.005996
3,15,0.006105
3,15,0.006059
3,15,0.005466
4,15,0.006110
4,15,0.005847
4,15,0.004070
4,15,0.004215
4,15,0.006016
5,15,0.004380
5,15,0.006103
5,15,0.006100
5,15,0.006148
5,15,0.006141
6,15,0.004566
6,15,0.006059
6,15,0.004151
6,15,0.006595
6,15,0.006317
7,15,0.006024
7,15,0.006285
7,15,0.005968
7,15,0.004520
7,15,0.006187
8,15,0.004020
8,15,0.006167
8,15,0.006266
8,15,0.006405
8,15,0.006333
1,16,0.009892
1,16,0.007871
1,16,0.008314
1,16,0.007898
1,16,0.008671
2,16,0.008555
2,16,0.010152
2,16,0.011252
2,16,0.008999
2,16,0.008396
3,16,0.010367
3,16,0.008126
3,16,0.008097
3,16,0.008452
3,16,0.007988
4,16,0.011325
4,16,0.009654
4,16,0.010307
4,16,0.010159
4,16,0.010586
5,16,0.009431
5,16,0.012300
5,16,0.008902
5,16,0.008622
5,16,0.010119
6,16,0.009886
6,16,0.010320
6,16,0.008280
6,16,0.010668
6,16,0.009937
7,16,0.010210
7,16,0.009012
7,16,0.008830
7,16,0.007986
7,16,0.007862
8,16,0.010062
8,16,0.009729
8,16,0.008944
8,16,0.010497
8,16,0.008936
1,17,0.016586
1,17,0.017250
1,17,0.016504
1,17,0.019222
1,17,0.018989
2,17,0.017731
2,17,0.017146
2,17,0.018336
2,17,0.018319
2,17,0.018295
3,17,0.017460
3,17,0.016442
3,17,0.020285
3,17,0.017522
3,17,0.017443
4,17,0.018548
4,17,0.018297
4,17,0.017826
4,17,0.019859
4,17,0.018090
5,17,0.016169
5,17,0.015657
5,17,0.015795
5,17,0.016964
5,17,0.018418
6,17,0.016668
6,17,0.016717
6,17,0.018168
6,17,0.018111
6,17,0.018429
7,17,0.015622
7,17,0.017308
7,17,0.017507
7,17,0.016330
7,17,0.017821
8,17,0.017742
8,17,0.018351
8,17,0.017048
8,17,0.016481
8,17,0.017639
1,18,0.034635
1,18,0.032701
1,18,0.035465
1,18,0.032363
1,18,0.033502
2,18,0.032439
2,18,0.034125
2,18,0.034244
2,18,0.033826
2,18,0.034598
3,18,0.034009
3,18,0.034413
3,18,0.033162
3,18,0.035333
3,18,0.033634
4,18,0.033105
4,18,0.032412
4,18,0.032402
4,18,0.033849
4,18,0.034686
5,18,0.034319
5,18,0.034835
5,18,0.033552
5,18,0.035223
5,18,0.033719
6,18,0.035186
6,18,0.032337
6,18,0.033687
6,18,0.033375
6,18,0.034635
7,18,0.035426
7,18,0.035331
7,18,0.032780
7,18,0.033941
7,18,0.033754
8,18,0.032486
8,18,0.036171
8,18,0.032551
8,18,0.035157
8,18,0.033728
1,19,0.069557
1,19,0.066845
1,19,0.066908
1,19,0.069549
1,19,0.067932
2,19,0.069418
2,19,0.067644
2,19,0.067116
2,19,0.070885
2,19,0.067473
3,19,0.069354
3,19,0.066874
3,19,0.069896
3,19,0.066880
3,19,0.067673
4,19,0.066778
4,19,0.066877
4,19,0.068951
4,19,0.067839
4,19,0.067169
5,19,0.067873
5,19,0.066820
5,19,0.070811
5,19,0.066595
5,19,0.066932
6,19,0.066982
6,19,0.069328
6,19,0.069252
6,19,0.066805
6,19,0.069279
7,19,0.067441
7,19,0.067146
7,19,0.066897
7,19,0.067484
7,19,0.068965
8,19,0.067342
8,19,0.067954
8,19,0.066846
8,19,0.069111
8,19,0.067181
1,20,0.119976
1,20,0.120000
1,20,0.119316
1,20,0.122461
1,20,0.116550
2,20,0.121535
2,20,0.119948
2,20,0.125311
2,20,0.121269
2,20,0.121535
3,20,0.120762
3,20,0.121398
3,20,0.119406
3,20,0.121719
3,20,0.120449
4,20,0.121318
4,20,0.121062
4,20,0.121385
4,20,0.121190
4,20,0.116795
5,20,0.119228
5,20,0.121248
5,20,0.121258
5,20,0.119062
5,20,0.118786
6,20,0.119533
6,20,0.119654
6,20,0.119530
6,20,0.121265
6,20,0.121584
7,20,0.118034
7,20,0.119307
7,20,0.121478
7,20,0.119600
7,20,0.118995
8,20,0.118878
8,20,0.118656
8,20,0.120834
8,20,0.121123
8,20,0.118880
1,21,0.220096
1,21,0.225404
1,21,0.216598
1,21,0.220802
1,21,0.226679
2,21,0.221139
2,21,0.221193
2,21,0.216718
2,21,0.221587
2,21,0.219586
3,21,0.218919
3,21,0.221269
3,21,0.219700
3,21,0.220722
3,21,0.224806
4,21,0.215608
4,21,0.225234
4,21,0.223417
4,21,0.217622
4,21,0.219008
5,21,0.218523
5,21,0.220013
5,21,0.222424
5,21,0.216431
5,21,0.224233
6,21,0.223373
6,21,0.220865
6,21,0.218766
6,21,0.217770
6,21,0.217682
7,21,0.221383
7,21,0.223711
7,21,0.223394
7,21,0.219479
7,21,0.226307
8,21,0.222288
8,21,0.221853
8,21,0.224636
8,21,0.221862
8,21,0.219460
1,22,0.493178
1,22,0.487651
1,22,0.488276
1,22,0.486888
1,22,0.482321
2,22,0.479628
2,22,0.499074
2,22,0.500968
2,22,0.479036
2,22,0.480967
3,22,0.481861
3,22,0.486933
3,22,0.485560
3,22,0.485235
3,22,0.482533
4,22,0.480832
4,22,0.481726
4,22,0.487560
4,22,0.481826
4,22,0.480417
5,22,0.494634
5,22,0.484327
5,22,0.472832
5,22,0.488585
5,22,0.491099
6,22,0.483468
6,22,0.493606
6,22,0.483289
6,22,0.480084
6,22,0.479646
7,22,0.481014
7,22,0.483082
7,22,0.478971
7,22,0.483981
7,22,0.484810
8,22,0.486424
8,22,0.477951
8,22,0.475299
8,22,0.494783
8,22,0.488646
1,23,1.020306
1,23,1.014297
1,23,1.013555
1,23,1.031878
1,23,1.033091
2,23,1.007962
2,23,1.028469
2,23,1.025787
2,23,1.029651
2,23,0.990164
3,23,1.021047
3,23,1.021179
3,23,1.008120
3,23,1.011107
3,23,1.029680
4,23,1.039702
4,23,1.023556
4,23,1.029542
4,23,1.010408
4,23,1.024654
5,23,1.035889
5,23,1.019673
5,23,1.024129
5,23,1.067888
5,23,1.006692
6,23,1.011490
6,23,1.023370
6,23,1.032722
6,23,0.982468
6,23,1.008689
7,23,1.016804
7,23,1.026554
7,23,1.018731
7,23,1.024262
7,23,1.025451
8,23,1.010687
8,23,1.020501
8,23,1.029450
8,23,1.027707
8,23,1.031784
1,24,2.220739
1,24,2.174637
1,24,2.153664
1,24,2.157837
1,24,2.201799
2,24,2.168194
2,24,2.185781
2,24,2.164918
2,24,2.178713
2,24,2.156557
3,24,2.234347
3,24,2.173454
3,24,2.212895
3,24,2.176603
3,24,2.201546
4,24,2.194742
4,24,2.177115
4,24,2.186298
4,24,2.210417
4,24,2.161498
5,24,2.156869
5,24,2.179554
5,24,2.207426
5,24,2.168547
5,24,2.209711
6,24,2.171394
6,24,2.158226
6,24,2.163387
6,24,2.179089
6,24,2.157884
7,24,2.159918
7,24,2.208799
7,24,2.211704
7,24,2.231042
7,24,2.259749
8,24,2.158434
8,24,2.212064
8,24,2.180922
8,24,2.192197
8,24,2.159226
