p,q,total_time
1,10,0.002487
1,10,0.001143
1,10,0.003362
1,10,0.002614
1,10,0.001555
2,10,0.003884
2,10,0.003243
2,10,0.004431
2,10,0.004628
2,10,0.003745
3,10,0.006289
3,10,0.006811
3,10,0.007562
3,10,0.005877
3,10,0.008254
4,10,0.000577
4,10,0.000505
4,10,0.000516
4,10,0.000472
4,10,0.000571
5,10,0.000916
5,10,0.000843
5,10,0.000943
5,10,0.000792
5,10,0.000873
6,10,0.001306
6,10,0.001547
6,10,0.001360
6,10,0.001488
6,10,0.001505
7,10,0.003090
7,10,0.002992
7,10,0.002727
7,10,0.002484
7,10,0.002616
8,10,0.004844
8,10,0.005515
8,10,0.005454
8,10,0.005893
8,10,0.006046
1,11,0.003076
1,11,0.000596
1,11,0.003324
1,11,0.001619
1,11,0.001141
2,11,0.005251
2,11,0.003300
2,11,0.002988
2,11,0.003201
2,11,0.003996
3,11,0.010142
3,11,0.005286
3,11,0.005608
3,11,0.008573
3,11,0.005974
4,11,0.000655
4,11,0.000682
4,11,0.000700
4,11,0.000633
4,11,0.000644
5,11,0.001073
5,11,0.000908
5,11,0.000811
5,11,0.001045
5,11,0.000920
6,11,0.001568
6,11,0.001471
6,11,0.001391
6,11,0.001735
6,11,0.001630
7,11,0.002871
7,11,0.002576
7,11,0.002701
7,11,0.002913
7,11,0.003242
8,11,0.005346
8,11,0.005063
8,11,0.006183
8,11,0.006045
8,11,0.004856
1,12,0.004643
1,12,0.000761
1,12,0.003677
1,12,0.003755
1,12,0.002774
2,12,0.004544
2,12,0.004005
2,12,0.004227
2,12,0.004563
2,12,0.003861
3,12,0.010726
3,12,0.007677
3,12,0.008778
3,12,0.005586
3,12,0.006237
4,12,0.000892
4,12,0.000993
4,12,0.000995
4,12,0.000919
4,12,0.000921
5,12,0.001410
5,12,0.001264
5,12,0.001286
5,12,0.001226
5,12,0.001306
6,12,0.002103
6,12,0.002009
6,12,0.001987
6,12,0.001737
6,12,0.001702
7,12,0.003348
7,12,0.003114
7,12,0.003252
7,12,0.003458
7,12,0.003026
8,12,0.005878
8,12,0.006252
8,12,0.005637
8,12,0.005585
8,12,0.006134
1,13,0.002694
1,13,0.002077
1,13,0.002486
1,13,0.002659
1,13,0.003639
2,13,0.004034
2,13,0.005545
2,13,0.004329
2,13,0.004121
2,13,0.004885
3,13,0.008252
3,13,0.008238
3,13,0.012198
3,13,0.010941
3,13,0.006200
4,13,0.001680
4,13,0.001699
4,13,0.001670
4,13,0.001637
4,13,0.001621
5,13,0.001894
5,13,0.001968
5,13,0.001954
5,13,0.002019
5,13,0.001835
6,13,0.002485
6,13,0.002641
6,13,0.002559
6,13,0.002759
6,13,0.002568
7,13,0.003863
7,13,0.004177
7,13,0.003922
7,13,0.003678
7,13,0.003568
8,13,0.005741
8,13,0.006227
8,13,0.005953
8,13,0.006421
8,13,0.006443
1,14,0.003482
1,14,0.005172
1,14,0.005337
1,14,0.005298
1,14,0.005822
2,14,0.005082
2,14,0.007166
2,14,0.004285
2,14,0.006540
2,14,0.004610
3,14,0.008556
3,14,0.008492
3,14,0.011477
3,14,0.008153
3,14,0.009125
4,14,0.002986
4,14,0.002980
4,14,0.002984
4,14,0.002950
4,14,0.002897
5,14,0.003315
5,14,0.003360
5,14,0.003194
5,14,0.003272
5,14,0.003267
6,14,0.003764
6,14,0.004171
6,14,0.003779
6,14,0.003838
6,14,0.003767
7,14,0.005244
7,14,0.005416
7,14,0.005346
7,14,0.005449
7,14,0.004851
8,14,0.007216
8,14,0.008312
8,14,0.007794
8,14,0.008959
8,14,0.008152
1,15,0.008479
1,15,0.007945
1,15,0.008213
1,15,0.007500
1,15,0.009176
2,15,0.009641
2,15,0.010748
2,15,0.007154
2,15,0.009402
2,15,0.009258
3,15,0.014258
3,15,0.011320
3,15,0.011178
3,15,0.015462
3,15,0.011579
4,15,0.005825
4,15,0.005918
4,15,0.005868
4,15,0.005889
4,15,0.005947
5,15,0.006171
5,15,0.006082
5,15,0.006259
5,15,0.006286
5,15,0.006159
6,15,0.006722
6,15,0.006933
6,15,0.006716
6,15,0.006698
6,15,0.007032
7,15,0.007843
7,15,0.008136
7,15,0.008112
7,15,0.007765
7,15,0.007760
8,15,0.010804
8,15,0.010754
8,15,0.009799
8,15,0.010929
8,15,0.010163
1,16,0.013087
1,16,0.013782
1,16,0.016140
1,16,0.012665
1,16,0.012975
2,16,0.016455
2,16,0.014387
2,16,0.015299
2,16,0.014257
2,16,0.014122
3,16,0.017219
3,16,0.020055
3,16,0.016944
3,16,0.019704
3,16,0.022038
4,16,0.012180
4,16,0.012137
4,16,0.012167
4,16,0.012188
4,16,0.012186
5,16,0.012581
5,16,0.012360
5,16,0.012420
5,16,0.012396
5,16,0.012623
6,16,0.013072
6,16,0.013149
6,16,0.013147
6,16,0.013374
6,16,0.013013
7,16,0.014306
7,16,0.014675
7,16,0.014670
7,16,0.014578
7,16,0.013784
8,16,0.017368
8,16,0.016349
8,16,0.018393
8,16,0.016902
8,16,0.017735
1,17,0.025730
1,17,0.027453
1,17,0.025570
1,17,0.026692
1,17,0.026556
2,17,0.027389
2,17,0.026935
2,17,0.027166
2,17,0.028557
2,17,0.027481
3,17,0.031025
3,17,0.030909
3,17,0.029984
3,17,0.029726
3,17,0.029097
4,17,0.024717
4,17,0.024785
4,17,0.024801
4,17,0.024658
4,17,0.024781
5,17,0.024863
5,17,0.025023
5,17,0.024910
5,17,0.025046
5,17,0.024935
6,17,0.025802
6,17,0.025684
6,17,0.025981
6,17,0.025765
6,17,0.025555
7,17,0.026457
7,17,0.027374
7,17,0.027110
7,17,0.027142
7,17,0.027838
8,17,0.030489
8,17,0.029708
8,17,0.028840
8,17,0.028654
8,17,0.029017
1,18,0.055486
1,18,0.052435
1,18,0.051690
1,18,0.051494
1,18,0.052457
2,18,0.054895
2,18,0.053103
2,18,0.054686
2,18,0.054477
2,18,0.054634
3,18,0.053862
3,18,0.056643
3,18,0.056427
3,18,0.057904
3,18,0.057840
4,18,0.051288
4,18,0.051212
4,18,0.050821
4,18,0.051057
4,18,0.051249
5,18,0.051489
5,18,0.051271
5,18,0.051675
5,18,0.051589
5,18,0.051285
6,18,0.051679
6,18,0.052345
6,18,0.052217
6,18,0.052241
6,18,0.051934
7,18,0.053489
7,18,0.052915
7,18,0.053579
7,18,0.053639
7,18,0.054887
8,18,0.057146
8,18,0.055918
8,18,0.057417
8,18,0.055971
8,18,0.056377
1,19,0.109829
1,19,0.113193
1,19,0.108895
1,19,0.112744
1,19,0.110618
2,19,0.111366
2,19,0.112940
2,19,0.113468
2,19,0.110734
2,19,0.112973
3,19,0.112953
3,19,0.113676
3,19,0.111876
3,19,0.112891
3,19,0.111738
4,19,0.108708
4,19,0.108697
4,19,0.108317
4,19,0.108675
4,19,0.108283
5,19,0.108241
5,19,0.108489
5,19,0.108512
5,19,0.108479
5,19,0.108856
6,19,0.109811
6,19,0.109222
6,19,0.109448
6,19,0.109060
6,19,0.109134
7,19,0.109931
7,19,0.109819
7,19,0.111063
7,19,0.110129
7,19,0.110705
8,19,0.112197
8,19,0.116459
8,19,0.113291
8,19,0.116050
8,19,0.113679
1,20,0.224128
1,20,0.225769
1,20,0.224598
1,20,0.224854
1,20,0.224307
2,20,0.224963
2,20,0.226368
2,20,0.231128
2,20,0.226215
2,20,0.232093
3,20,0.229361
3,20,0.232077
3,20,0.230745
3,20,0.232513
3,20,0.229336
4,20,0.224460
4,20,0.224550
4,20,0.224762
4,20,0.224417
4,20,0.224222
5,20,0.223881
5,20,0.224464
5,20,0.224380
5,20,0.224987
5,20,0.224185
6,20,0.224981
6,20,0.226156
6,20,0.225701
6,20,0.224771
6,20,0.225425
7,20,0.227183
7,20,0.227128
