p,q,total_time
1,10,0.000358
1,10,0.000356
1,10,0.000359
1,10,0.000347
1,10,0.000346
2,10,0.000415
2,10,0.000420
2,10,0.000429
2,10,0.000385
2,10,0.000398
3,10,0.000505
3,10,0.000488
3,10,0.000497
3,10,0.000512
3,10,0.000515
4,10,0.000675
4,10,0.000706
4,10,0.000727
4,10,0.000788
4,10,0.000702
5,10,0.001218
5,10,0.001187
5,10,0.001105
5,10,0.001106
5,10,0.001017
6,10,0.001666
6,10,0.001555
6,10,0.002151
6,10,0.001928
6,10,0.001968
7,10,0.004072
7,10,0.004363
7,10,0.003427
7,10,0.004389
7,10,0.003380
8,10,0.005918
8,10,0.007568
8,10,0.006876
8,10,0.006679
8,10,0.007908
1,11,0.000708
1,11,0.000692
1,11,0.000692
1,11,0.000571
1,11,0.000701
2,11,0.000745
2,11,0.000779
2,11,0.000777
2,11,0.000731
2,11,0.000754
3,11,0.000850
3,11,0.000849
3,11,0.000868
3,11,0.000838
3,11,0.000899
4,11,0.001057
4,11,0.001022
4,11,0.000984
4,11,0.001061
4,11,0.001085
5,11,0.001346
5,11,0.001387
5,11,0.001384
5,11,0.001434
5,11,0.001400
6,11,0.002041
6,11,0.002442
6,11,0.001931
6,11,0.002247
6,11,0.002329
7,11,0.004373
7,11,0.003893
7,11,0.004414
7,11,0.003756
7,11,0.004157
8,11,0.006733
8,11,0.007509
8,11,0.008023
8,11,0.006971
8,11,0.007716
1,12,0.001439
1,12,0.001436
1,12,0.001432
1,12,0.001437
1,12,0.001425
2,12,0.001482
2,12,0.001485
2,12,0.001283
2,12,0.001153
2,12,0.001091
3,12,0.001597
3,12,0.001601
3,12,0.001594
3,12,0.001582
3,12,0.001589
4,12,0.001851
4,12,0.001848
4,12,0.001726
4,12,0.001837
4,12,0.001477
5,12,0.002211
5,12,0.002258
5,12,0.002175
5,12,0.002167
5,12,0.002155
6,12,0.002382
6,12,0.002667
6,12,0.002925
6,12,0.002845
6,12,0.002600
7,12,0.005627
7,12,0.005277
7,12,0.004740
7,12,0.005416
7,12,0.005129
8,12,0.009042
8,12,0.009637
8,12,0.007967
8,12,0.008594
8,12,0.010279
1,13,0.003042
1,13,0.002663
1,13,0.002494
1,13,0.002503
1,13,0.002500
2,13,0.002899
2,13,0.003083
2,13,0.003069
2,13,0.002774
2,13,0.002707
3,13,0.003045
3,13,0.002821
3,13,0.002743
3,13,0.003188
3,13,0.002819
4,13,0.003287
4,13,0.003066
4,13,0.002951
4,13,0.003183
4,13,0.002513
5,13,0.003681
5,13,0.003917
5,13,0.003344
5,13,0.003333
5,13,0.002998
6,13,0.004485
6,13,0.004627
6,13,0.004139
6,13,0.004751
6,13,0.004745
7,13,0.006972
7,13,0.007643
7,13,0.007576
7,13,0.006686
7,13,0.006611
8,13,0.010451
8,13,0.011530
8,13,0.011790
8,13,0.011834
8,13,0.011937
1,14,0.005020
1,14,0.005255
1,14,0.005268
1,14,0.005652
1,14,0.005096
2,14,0.004142
2,14,0.005180
2,14,0.005629
2,14,0.005657
2,14,0.005592
3,14,0.004850
3,14,0.005950
3,14,0.004939
3,14,0.005918
3,14,0.006089
4,14,0.005369
4,14,0.005328
4,14,0.005658
4,14,0.005833
4,14,0.005511
5,14,0.006927
5,14,0.006363
5,14,0.005542
5,14,0.006594
5,14,0.005796
6,14,0.007034
6,14,0.007962
6,14,0.007615
6,14,0.007119
6,14,0.007570
7,14,0.008827
7,14,0.008885
7,14,0.010366
7,14,0.010412
7,14,0.009271
8,14,0.013969
8,14,0.012624
8,14,0.014136
8,14,0.015569
8,14,0.014268
1,15,0.011337
1,15,0.009363
1,15,0.011244
1,15,0.011817
1,15,0.012707
2,15,0.012277
2,15,0.009978
2,15,0.011503
2,15,0.009748
2,15,0.010421
3,15,0.009447
3,15,0.010940
3,15,0.009554
3,15,0.011470
3,15,0.011164
4,15,0.012107
4,15,0.011636
4,15,0.009599
4,15,0.013370
4,15,0.012414
5,15,0.013265
5,15,0.011878
5,15,0.011540
5,15,0.013355
5,15,0.011021
6,15,0.011875
6,15,0.012501
6,15,0.014390
6,15,0.012795
6,15,0.013110
7,15,0.014914
7,15,0.016096
7,15,0.015682
7,15,0.016598
7,15,0.012930
8,15,0.018089
8,15,0.020462
8,15,0.021242
8,15,0.019279
8,15,0.020213
1,16,0.022992
1,16,0.022552
1,16,0.023866
1,16,0.020299
1,16,0.021710
2,16,0.023198
2,16,0.027697
2,16,0.024476
2,16,0.025274
2,16,0.023899
3,16,0.025839
3,16,0.025623
3,16,0.025341
3,16,0.023438
3,16,0.025618
4,16,0.025611
4,16,0.028706
4,16,0.023740
4,16,0.025090
4,16,0.023703
5,16,0.026803
5,16,0.024177
5,16,0.022591
5,16,0.028200
5,16,0.024490
6,16,0.027369
6,16,0.026692
6,16,0.027118
6,16,0.027018
6,16,0.023095
7,16,0.025697
7,16,0.028009
7,16,0.028769
7,16,0.026817
7,16,0.031172
8,16,0.030846
8,16,0.031141
8,16,0.033651
8,16,0.031683
8,16,0.036196
1,17,0.051617
1,17,0.052202
1,17,0.048660
1,17,0.050136
1,17,0.047581
2,17,0.052347
2,17,0.051535
2,17,0.056392
2,17,0.053559
2,17,0.049071
3,17,0.055972
3,17,0.052321
3,17,0.055711
3,17,0.051952
3,17,0.056304
4,17,0.057112
4,17,0.048001
4,17,0.053311
4,17,0.051517
4,17,0.059230
5,17,0.059841
5,17,0.057198
5,17,0.052767
5,17,0.060242
5,17,0.048598
6,17,0.056961
6,17,0.057666
6,17,0.053916
6,17,0.053984
6,17,0.054216
7,17,0.055984
7,17,0.053481
7,17,0.056073
7,17,0.061241
7,17,0.054725
8,17,0.059397
8,17,0.061285
8,17,0.059270
8,17,0.055960
8,17,0.055905
1,18,0.099630
1,18,0.107135
1,18,0.100775
1,18,0.103126
1,18,0.103034
2,18,0.112063
2,18,0.119317
2,18,0.116026
2,18,0.114374
2,18,0.111804
3,18,0.108020
3,18,0.113886
3,18,0.117052
3,18,0.116131
3,18,0.115909
4,18,0.117742
4,18,0.115292
4,18,0.118890
4,18,0.116989
4,18,0.112981
5,18,0.115255
5,18,0.118609
5,18,0.123725
5,18,0.118307
5,18,0.130084
6,18,0.121494
6,18,0.118863
6,18,0.115184
6,18,0.122324
6,18,0.122712
7,18,0.128198
7,18,0.109532
7,18,0.125245
7,18,0.115007
7,18,0.115382
8,18,0.115469
8,18,0.115682
8,18,0.116788
8,18,0.110873
8,18,0.109866
1,19,0.214952
1,19,0.209570
1,19,0.219506
1,19,0.212832
1,19,0.216113
