p,q,total_time
1,10,0.000291
1,10,0.000251
1,10,0.000240
1,10,0.000278
1,10,0.000236
2,10,0.000253
2,10,0.000236
2,10,0.000237
2,10,0.000243
2,10,0.000272
3,10,0.000236
3,10,0.000226
3,10,0.000269
3,10,0.000295
3,10,0.000244
4,10,0.000236
4,10,0.000249
4,10,0.000234
4,10,0.000261
4,10,0.000252
5,10,0.000231
5,10,0.000249
5,10,0.000227
5,10,0.000242
5,10,0.000226
6,10,0.000240
6,10,0.000249
6,10,0.000236
6,10,0.000228
6,10,0.000249
7,10,0.000323
7,10,0.000236
7,10,0.000240
7,10,0.000225
7,10,0.000227
8,10,0.000321
8,10,0.000238
8,10,0.000234
8,10,0.000233
8,10,0.000238
1,11,0.000426
1,11,0.000374
1,11,0.000515
1,11,0.000400
1,11,0.000410
2,11,0.000381
2,11,0.000376
2,11,0.000419
2,11,0.000388
2,11,0.000378
3,11,0.000392
3,11,0.000383
3,11,0.000413
3,11,0.000376
3,11,0.000394
4,11,0.000380
4,11,0.000373
4,11,0.000461
4,11,0.000386
4,11,0.000426
5,11,0.000383
5,11,0.000382
5,11,0.000383
5,11,0.000400
5,11,0.000387
6,11,0.000380
6,11,0.000443
6,11,0.000393
6,11,0.000398
6,11,0.000384
7,11,0.000420
7,11,0.000400
7,11,0.000378
7,11,0.000312
7,11,0.000408
8,11,0.000460
8,11,0.000282
8,11,0.000382
8,11,0.000387
8,11,0.000420
1,12,0.000661
1,12,0.000688
1,12,0.000695
1,12,0.000725
1,12,0.000738
2,12,0.000766
2,12,0.000626
2,12,0.000725
2,12,0.000684
2,12,0.000693
3,12,0.000706
3,12,0.000634
3,12,0.000687
3,12,0.000685
3,12,0.000714
4,12,0.000694
4,12,0.000695
4,12,0.000693
4,12,0.000734
4,12,0.000701
5,12,0.000687
5,12,0.000689
5,12,0.000691
5,12,0.000711
5,12,0.000685
6,12,0.000682
6,12,0.000693
6,12,0.000684
6,12,0.000701
6,12,0.000685
7,12,0.000479
7,12,0.000692
7,12,0.000682
7,12,0.000687
7,12,0.000682
8,12,0.000773
8,12,0.000699
8,12,0.000699
8,12,0.000685
8,12,0.000681
1,13,0.001392
1,13,0.001357
1,13,0.001330
1,13,0.001334
1,13,0.001406
2,13,0.001371
2,13,0.001350
2,13,0.001395
2,13,0.001347
2,13,0.001361
3,13,0.001427
3,13,0.001371
3,13,0.001361
3,13,0.001368
3,13,0.001346
4,13,0.001406
4,13,0.001344
4,13,0.001353
4,13,0.001339
4,13,0.001335
5,13,0.001444
5,13,0.001351
5,13,0.000863
5,13,0.001006
5,13,0.000926
6,13,0.001417
6,13,0.001348
6,13,0.001403
6,13,0.001335
6,13,0.001346
7,13,0.001416
7,13,0.001351
7,13,0.001333
7,13,0.001337
7,13,0.001256
8,13,0.001381
8,13,0.001402
8,13,0.001352
8,13,0.001332
8,13,0.001344
1,14,0.002372
1,14,0.002573
1,14,0.002704
1,14,0.002709
1,14,0.002713
2,14,0.002773
2,14,0.002730
2,14,0.002703
2,14,0.002721
2,14,0.002717
3,14,0.002758
3,14,0.002730
3,14,0.002719
3,14,0.002388
3,14,0.002710
4,14,0.002770
4,14,0.002728
4,14,0.002720
4,14,0.002722
4,14,0.002715
5,14,0.002742
5,14,0.002721
5,14,0.001822
5,14,0.002710
5,14,0.002709
6,14,0.002786
6,14,0.002741
6,14,0.001988
6,14,0.002709
6,14,0.002709
7,14,0.002255
7,14,0.002734
7,14,0.002723
7,14,0.002717
7,14,0.002719
8,14,0.002730
8,14,0.002584
8,14,0.002771
8,14,0.002557
8,14,0.001955
1,15,0.005808
1,15,0.004702
1,15,0.003675
1,15,0.005631
1,15,0.005647
2,15,0.004495
2,15,0.005575
2,15,0.005747
2,15,0.005628
2,15,0.005611
3,15,0.005668
3,15,0.004177
3,15,0.005637
3,15,0.005607
3,15,0.005630
4,15,0.005793
4,15,0.005685
4,15,0.005633
4,15,0.005628
4,15,0.005644
5,15,0.005732
5,15,0.005695
5,15,0.005645
5,15,0.005636
5,15,0.005659
6,15,0.004474
6,15,0.003628
6,15,0.006139
6,15,0.004444
6,15,0.003890
7,15,0.005788
7,15,0.004188
7,15,0.005728
7,15,0.005454
7,15,0.005059
8,15,0.005630
8,15,0.004661
8,15,0.005645
8,15,0.005625
8,15,0.005627
1,16,0.008688
1,16,0.011084
1,16,0.009416
1,16,0.009904
1,16,0.009596
2,16,0.008783
2,16,0.008850
2,16,0.009863
2,16,0.009842
2,16,0.008105
3,16,0.010338
3,16,0.007672
3,16,0.009477
3,16,0.010492
3,16,0.009499
4,16,0.009689
4,16,0.008924
4,16,0.011134
4,16,0.009526
4,16,0.008879
5,16,0.009195
5,16,0.009410
5,16,0.010288
5,16,0.008426
5,16,0.007756
